segment_id,distance,entanglement_speed_factor,gate_speed_factor,client_gate_speed_factor,target_metric,distance_contribution,entanglement_speed_factor_contribution,gate_speed_factor_contribution,use_log_scale,timing_mode
1_1_1,17.78279410038923,35.56558820077842,0.04676874848402369,1.0,2970834685.811328,6.235294306976763e-09,0.9977700807483917,2.8470451562659938e-09,True,factor
1_1_2,17.78279410038923,35.56558820077842,0.14789576852506187,1.0,2970993436.2661734,6.393900250346122e-09,0.998220471374971,2.839233840489756e-08,True,factor
1_1_3,17.78279410038923,35.56558820077842,0.46768748484023687,1.0,2972381916.7702813,5.24607962209422e-09,0.9970328001688102,2.8291192779991397e-07,True,factor
1_1_4,17.78279410038923,35.56558820077842,1.4789576852506185,1.0,2975822186.8325562,5.574056285920962e-09,0.9994566925880585,2.8453608819510196e-06,True,factor
1_1_5,17.78279410038923,35.56558820077842,4.676874848402369,1.0,2988955045.145692,5.610182976872113e-09,0.9971541799424665,0.00026495055335608265,True,factor
1_1_6,17.78279410038923,35.56558820077842,14.789576852506187,1.0,3960775641.342387,7.834464933170358e-06,0.2895887649364034,0.8286904761511674,True,factor
1_2_1,17.78279410038923,112.46826503806972,0.04676874848402369,1.0,940455633.3238188,6.557751157304933e-08,0.9894998158038502,2.8404125276442792e-08,True,factor
1_2_2,17.78279410038923,112.46826503806972,0.14789576852506187,1.0,940799793.6472976,5.9011619548443226e-08,1.0002652349978682,2.8432186844681263e-07,True,factor
1_2_3,17.78279410038923,112.46826503806972,0.46768748484023687,1.0,941888471.1493094,6.391805572658508e-08,1.0001927085243743,2.837694438675149e-06,True,factor
1_2_4,17.78279410038923,112.46826503806972,1.4789576852506185,1.0,947328392.0915598,3.577366622563119e-06,0.9874964130967467,0.0012778013984166795,True,factor
1_2_5,17.78279410038923,112.46826503806972,4.676874848402369,1.0,1281490479.8466957,7.674982553924397e-05,0.2521873948918982,0.8479002715435291,True,factor
1_2_6,17.78279410038923,112.46826503806972,14.789576852506187,1.0,3588037368.436869,1.0809224041961977e-05,2.7036546718952444e-08,1.0016089988604646,True,factor
1_3_1,17.78279410038923,355.6558820077839,0.04676874848402369,1.0,298350830.1226238,6.229486306160964e-07,0.9967400415285315,2.8457765822183115e-07,True,factor
1_3_2,17.78279410038923,355.6558820077839,0.14789576852506187,1.0,298693785.04861486,5.572726801799265e-07,0.998150957088749,2.8438042096604427e-06,True,factor
1_3_3,17.78279410038923,355.6558820077839,0.46768748484023687,1.0,303937893.7211779,0.00020937291002375835,0.9759048783687962,0.010407835950740105,True,factor
1_3_4,17.78279410038923,355.6558820077839,1.4789576852506185,1.0,436073934.4575981,0.0009648673008435231,0.1402928099354603,0.9393184564777013,True,factor
1_3_5,17.78279410038923,355.6558820077839,4.676874848402369,1.0,1176673870.6274993,0.0001042807679063448,2.7491873070642106e-07,1.0014537490848432,True,factor
1_3_6,17.78279410038923,355.6558820077839,14.789576852506187,1.0,3587998431.4759674,1.0151857237262324e-05,4.1623711913258e-08,1.0031373137983328,True,factor
1_4_1,17.78279410038923,1124.682650380696,0.04676874848402369,1.0,117977409.38512161,0.14365521833176476,0.9420334032781267,0.10423689648448982,True,factor
1_4_2,17.78279410038923,1124.682650380696,0.14789576852506187,1.0,137118424.7124084,0.12975479911062543,0.8738543342055648,0.36514618035415725,True,factor
1_4_3,17.78279410038923,1124.682650380696,0.46768748484023687,1.0,190339225.46940762,0.04087222664870896,0.102012611839896,1.0007804115016303,True,factor
1_4_4,17.78279410038923,1124.682650380696,1.4789576852506185,1.0,414953790.42060566,0.001017824497853705,0.00015040011147307046,0.9968647583101006,True,factor
1_4_5,17.78279410038923,1124.682650380696,4.676874848402369,1.0,1176719171.0011113,9.166389149050836e-05,2.02153496333608e-07,0.9985679186624974,True,factor
1_4_6,17.78279410038923,1124.682650380696,14.789576852506187,1.0,3588049486.835513,8.963973862083812e-06,1.649177302572307e-08,0.9977253871268104,True,factor
1_5_1,17.78279410038923,3556.558820077839,0.04676874848402369,1.0,129088311.45413871,6.231360105695404e-05,1.0002515732331803,2.8631089831255794e-05,True,factor
1_5_2,17.78279410038923,3556.558820077839,0.14789576852506187,1.0,130046622.73233704,0.041644776162668255,0.9653195657260759,0.11798161569556698,True,factor
1_5_3,17.78279410038923,3556.558820077839,0.46768748484023687,1.0,185919904.83989164,0.02308622152045704,0.03281521851239186,1.0113724440730925,True,factor
1_5_4,17.78279410038923,3556.558820077839,1.4789576852506185,1.0,414764652.168077,0.0010008193043271425,8.279528349527761e-05,0.9979986980907913,True,factor
1_5_5,17.78279410038923,3556.558820077839,4.676874848402369,1.0,1176025979.0516548,8.819141996319635e-05,5.161706787673549e-07,0.9985583637189296,True,factor
1_5_6,17.78279410038923,3556.558820077839,14.789576852506187,1.0,3588040512.671946,1.0326426677175754e-05,3.0848196075583816e-08,1.0034474155279318,True,factor
1_6_1,17.78279410038923,11246.82650380696,0.04676874848402369,1.0,108782228.1125648,0.0005407238938327457,1.0059358799494167,0.000282301766879284,True,factor
1_6_2,17.78279410038923,11246.82650380696,0.14789576852506187,1.0,113911348.17686987,0.20309572291193173,0.1548354333253803,0.9346485030011473,True,factor
1_6_3,17.78279410038923,11246.82650380696,0.46768748484023687,1.0,190638092.98919705,0.04537454958964253,0.03314504941812015,0.9623888776196813,True,factor
1_6_4,17.78279410038923,11246.82650380696,1.4789576852506185,1.0,414739078.5888507,0.0010933204470796427,1.2595635354056644e-05,1.0019303833918403,True,factor
1_6_5,17.78279410038923,11246.82650380696,4.676874848402369,1.0,1176731798.9257836,0.0001019443080525528,1.8789699054725615e-07,1.0038230120401712,True,factor
1_6_6,17.78279410038923,11246.82650380696,14.789576852506187,1.0,3588004851.371335,9.419748904418227e-06,1.5358465104868506e-08,0.9929996770482992,True,factor
2_1_1,56.23413251903491,35.56558820077842,0.04676874848402369,1.0,2971374296.6858816,4.327450724254912e-08,0.9939822745622388,2.8316575044191696e-09,True,factor
2_1_2,56.23413251903491,35.56558820077842,0.14789576852506187,1.0,2971734068.8030095,4.572475105598263e-08,1.000203961431434,2.8419256247853395e-08,True,factor
2_1_3,56.23413251903491,35.56558820077842,0.46768748484023687,1.0,2972815533.211421,4.540096532516274e-08,0.9920030742103467,2.8385301593595804e-07,True,factor
2_1_4,56.23413251903491,35.56558820077842,1.4789576852506185,1.0,2976224147.8501005,4.4914363193355454e-08,1.0115088697462038,2.826390419631276e-06,True,factor
2_1_5,56.23413251903491,35.56558820077842,4.676874848402369,1.0,2989770640.886419,3.814727165249203e-06,1.0002800999883807,0.0006834981335965723,True,factor
2_1_6,56.23413251903491,35.56558820077842,14.789576852506187,1.0,3976278849.3718095,6.187921326568862e-05,0.3039715643701517,0.8331290356638119,True,factor
2_2_1,56.23413251903491,112.46826503806972,0.04676874848402369,1.0,940536753.4978173,4.560885123354419e-07,1.0118235172479346,2.8771943060279592e-08,True,factor
2_2_2,56.23413251903491,112.46826503806972,0.14789576852506187,1.0,941202135.0265728,4.376934459846738e-07,0.9982939591025546,2.8029248474569783e-07,True,factor
2_2_3,56.23413251903491,112.46826503806972,0.46768748484023687,1.0,942261010.7583615,4.3633414485401905e-07,1.0000966345005748,2.8417184470958887e-06,True,factor
2_2_4,56.23413251903491,112.46826503806972,1.4789576852506185,1.0,948480189.6507008,3.253769896119124e-05,1.0144335468416381,0.0022194746647883454,True,factor
2_2_5,56.23413251903491,112.46826503806972,4.676874848402369,1.0,1295059794.2006497,0.0006543614940018788,0.23627080401599337,0.8552376043071503,True,factor
2_2_6,56.23413251903491,112.46826503806972,14.789576852506187,1.0,3608006663.3066573,7.676872907994444e-05,2.948586788197615e-08,1.001308831144473,True,factor
2_3_1,56.23413251903491,355.6558820077839,0.04676874848402369,1.0,298747820.49286884,4.361512517949423e-06,1.0001113818541174,2.836837639863217e-07,True,factor
2_3_2,56.23413251903491,355.6558820077839,0.14789576852506187,1.0,299093252.23420066,4.589890343872932e-06,1.0059880697727746,2.834714528816807e-06,True,factor
2_3_3,56.23413251903491,355.6558820077839,0.46768748484023687,1.0,307725663.1698092,0.0030935566626402538,0.9887499244720765,0.031555960442053214,True,factor
2_3_4,56.23413251903491,355.6558820077839,1.4789576852506185,1.0,451791698.7429611,0.007491949964000375,0.10822482557734549,0.9354140568990216,True,factor
2_3_5,56.23413251903491,355.6558820077839,4.676874848402369,1.0,1196679103.131464,0.0007755279091962234,1.9125617025650835e-07,1.000215057379154,True,factor
2_3_6,56.23413251903491,355.6558820077839,14.789576852506187,1.0,3608014222.3488913,7.352627395492823e-05,1.4767601625694972e-08,0.9996292320451938,True,factor
2_4_1,56.23413251903491,1124.682650380696,0.04676874848402369,1.0,140436544.5019772,0.6710451433863751,0.88636627223697,0.09003100409110566,True,factor
2_4_2,56.23413251903491,1124.682650380696,0.14789576852506187,1.0,156446095.62531507,0.48643674405893467,0.7669746928644955,0.25479959134754976,True,factor
2_4_3,56.23413251903491,1124.682650380696,0.46768748484023687,1.0,209517069.89459807,0.11800677478379817,0.096584934082671,0.8815287588517787,True,factor
2_4_4,56.23413251903491,1124.682650380696,1.4789576852506185,1.0,435061536.670496,0.008080342190903422,9.272727663267734e-05,0.9806110995353353,True,factor
2_4_5,56.23413251903491,1124.682650380696,4.676874848402369,1.0,1196817410.7022626,0.0007953102350174905,1.1290967452603088e-07,0.9993669432267532,True,factor
2_4_6,56.23413251903491,1124.682650380696,14.789576852506187,1.0,3608101892.0777054,7.449025840764865e-05,2.4512177369102367e-08,0.9882061299382403,True,factor
2_5_1,56.23413251903491,3556.558820077839,0.04676874848402369,1.0,129522056.73332945,0.0004225760062212977,1.026384146809177,2.8527585344612227e-05,True,factor
2_5_2,56.23413251903491,3556.558820077839,0.14789576852506187,1.0,137428822.8055728,0.5005335471474297,0.3220789327495785,0.6115743597548295,True,factor
2_5_3,56.23413251903491,3556.558820077839,0.46768748484023687,1.0,210953348.17671436,0.17838274096388804,0.06621543855146819,0.8563811871057203,True,factor
2_5_4,56.23413251903491,3556.558820077839,1.4789576852506185,1.0,434716501.4597799,0.007848701579595808,2.850278502532751e-05,0.9900778963899616,True,factor
2_5_5,56.23413251903491,3556.558820077839,4.676874848402369,1.0,1196673096.5727744,0.0007552101628033648,2.6858315432989953e-07,1.0016746512267896,True,factor
2_5_6,56.23413251903491,3556.558820077839,14.789576852506187,1.0,3608071636.2297487,7.74306460756194e-05,1.7613533272599434e-08,0.9937461060672896,True,factor
2_6_1,56.23413251903491,11246.82650380696,0.04676874848402369,1.0,111199118.75094762,0.8061028396819147,0.23969408015807112,0.6180294113418813,True,factor
2_6_2,56.23413251903491,11246.82650380696,0.14789576852506187,1.0,140330457.7655704,0.6750312097061559,0.07299154310756231,0.4172598319110484,True,factor
2_6_3,56.23413251903491,11246.82650380696,0.46768748484023687,1.0,216056432.98851386,0.21736987749781111,0.04247739235744682,0.8402246281641959,True,factor
2_6_4,56.23413251903491,11246.82650380696,1.4789576852506185,1.0,434964375.1766614,0.007781967533842836,4.379143768006089e-05,0.9967406454294101,True,factor
2_6_5,56.23413251903491,11246.82650380696,4.676874848402369,1.0,1196673029.071069,0.0007831279534463807,4.73997570271258e-07,1.000525494933623,True,factor
2_6_6,56.23413251903491,11246.82650380696,14.789576852506187,1.0,3607972393.5363364,7.35956238872433e-05,2.4387015777494136e-08,1.0012699167424797,True,factor
3_1_1,177.82794100389228,35.56558820077842,0.04676874848402369,1.0,2973183030.989718,4.083162392568642e-07,0.9954704866315308,2.8474457894411863e-09,True,factor
3_1_2,177.82794100389228,35.56558820077842,0.14789576852506187,1.0,2973060079.450793,3.972935866109035e-07,1.0003666836200633,2.8444271822054634e-08,True,factor
3_1_3,177.82794100389228,35.56558820077842,0.46768748484023687,1.0,2974069722.1475496,4.1007351097365653e-07,1.0016290901162872,2.8808907766246597e-07,True,factor
3_1_4,177.82794100389228,35.56558820077842,1.4789576852506185,1.0,2977431877.9036283,4.0359385995031427e-07,0.995896081498244,2.837850920002577e-06,True,factor
3_1_5,177.82794100389228,35.56558820077842,4.676874848402369,1.0,2992971189.4756703,1.711508373213872e-05,1.0021833575111487,0.0010500958785503247,True,factor
3_1_6,177.82794100389228,35.56558820077842,14.789576852506187,1.0,4016580346.15167,0.0005819861208866172,0.25113405667930844,0.8219644946158665,True,factor
3_2_1,177.82794100389228,112.46826503806972,0.04676874848402369,1.0,942140764.7727134,4.059767742930646e-06,1.0067352383172623,2.8867791801137516e-08,True,factor
3_2_2,177.82794100389228,112.46826503806972,0.14789576852506187,1.0,942483305.0712802,4.1011068410333555e-06,0.9920496236521674,2.845241942975916e-07,True,factor
3_2_3,177.82794100389228,112.46826503806972,0.46768748484023687,1.0,943569625.9323097,4.110354546094374e-06,0.9995796354460659,2.8278778736147644e-06,True,factor
3_2_4,177.82794100389228,112.46826503806972,1.4789576852506185,1.0,953765090.1152452,0.0010082659060111126,1.0049905788511675,0.006768257080125168,True,factor
3_2_5,177.82794100389228,112.46826503806972,4.676874848402369,1.0,1339645924.6813054,0.00601427250890788,0.18917537685649125,0.8954761392452831,True,factor
3_2_6,177.82794100389228,112.46826503806972,14.789576852506187,1.0,3672173969.9750366,0.0007191182275299628,3.5552513197854755e-08,0.9997817661152311,True,factor
3_3_1,177.82794100389228,355.6558820077839,0.04676874848402369,1.0,304802398.13030946,0.031746888733668585,0.9783575372232728,0.0016006017034901994,True,factor
3_3_2,177.82794100389228,355.6558820077839,0.14789576852506187,1.0,308736254.5924109,0.04792088388392663,0.9863214447306359,0.004856817824087707,True,factor
3_3_3,177.82794100389228,355.6558820077839,0.46768748484023687,1.0,333141927.39221555,0.08994110847775402,0.926416805705362,0.08262278141408957,True,factor
3_3_4,177.82794100389228,355.6558820077839,1.4789576852506185,1.0,507055617.98409796,0.06527492434751038,0.03563260731821725,0.916283904341112,True,factor
3_3_5,177.82794100389228,355.6558820077839,4.676874848402369,1.0,1260868636.3653908,0.007056874710833829,2.794524883201741e-07,0.9934055440628573,True,factor
3_3_6,177.82794100389228,355.6558820077839,14.789576852506187,1.0,3672246909.601845,0.0007292187797979508,1.2536733156936097e-08,0.9941617860965871,True,factor
3_4_1,177.82794100389228,1124.682650380696,0.04676874848402369,1.0,199857485.4621305,1.1085750830295962,0.4185565363584399,0.009628512222904588,True,factor
3_4_2,177.82794100389228,1124.682650380696,0.14789576852506187,1.0,216656002.1306242,0.9539663525741549,0.30037775033726893,0.12854164971431378,True,factor
3_4_3,177.82794100389228,1124.682650380696,0.46768748484023687,1.0,274076350.7327393,0.5536028915762985,0.06730726188417281,0.5036099904267076,True,factor
3_4_4,177.82794100389228,1124.682650380696,1.4789576852506185,1.0,499186195.9542715,0.06672870859405543,0.00010584348984859902,0.935513772364953,True,factor
3_4_5,177.82794100389228,1124.682650380696,4.676874848402369,1.0,1260833146.834744,0.007165781249126641,1.0775383566631733e-06,0.9935658461667737,True,factor
3_4_6,177.82794100389228,1124.682650380696,14.789576852506187,1.0,3672342727.663514,0.0007329142923380753,1.8567606760216853e-08,0.9994827208203106,True,factor
3_5_1,177.82794100389228,3556.558820077839,0.04676874848402369,1.0,196799956.99788237,0.9719532519394439,0.20258456918468995,0.040741930746883974,True,factor
3_5_2,177.82794100389228,3556.558820077839,0.14789576852506187,1.0,218152155.1621561,0.8904143657927126,0.2249561496805348,0.1838099193892969,True,factor
3_5_3,177.82794100389228,3556.558820077839,0.46768748484023687,1.0,274699779.71345484,0.5318821450651189,0.02739218603848173,0.4869194707060235,True,factor
3_5_4,177.82794100389228,3556.558820077839,1.4789576852506185,1.0,499224999.443188,0.06748404103581046,6.603363862013972e-05,0.9342574435496993,True,factor
3_5_5,177.82794100389228,3556.558820077839,4.676874848402369,1.0,1261502160.4562457,0.007067704541367844,1.397375654588768e-07,0.9958070123698466,True,factor
3_5_6,177.82794100389228,3556.558820077839,14.789576852506187,1.0,3672318950.7746124,0.0007122389039865977,1.4362377466937526e-08,0.9997493913162182,True,factor
3_6_1,177.82794100389228,11246.82650380696,0.04676874848402369,1.0,204014617.48778945,0.844246587018253,0.15558971211835898,0.13805310463994408,True,factor
3_6_2,177.82794100389228,11246.82650380696,0.14789576852506187,1.0,221219197.01493257,0.982383154426358,0.03161458492789941,0.16556280508921792,True,factor
3_6_3,177.82794100389228,11246.82650380696,0.46768748484023687,1.0,273839028.0059241,0.5349551535007345,0.00800306939650485,0.48281287836277653,True,factor
3_6_4,177.82794100389228,11246.82650380696,1.4789576852506185,1.0,499110220.22515666,0.0638021838358803,4.45544577279233e-05,0.9308724031375624,True,factor
3_6_5,177.82794100389228,11246.82650380696,4.676874848402369,1.0,1260984486.7378051,0.007104580787205973,1.428794106488237e-07,0.9935445226198952,True,factor
